"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda"
"2310",56.5664430320151,8.5,360,100,1852.89876345362,"H4W261","Blue",470
"2410",54.6067042716963,8,360,100,2080.97002200844,"H4W261","Blue",470
"2510",60.0350825384638,9.5,360,100,1985.85075563435,"H4W261","Blue",470
"2610",64.8828958082904,9,360,100,2479.329578115,"H4W261","Blue",470
"76",66.9257425742574,10,385,100,1486.99161529541,"C7W260","Blue",470
"77",39.030593514175,3.5,385,100,635.894672377806,"C7W260","Blue",470
"78",26.4405569439486,3,385,100,170.748243131013,"C7W260","Blue",470
"79",49.5634803592975,4.5,385,100,971.307889458166,"C7W260","Blue",470
"80",45.3334845392001,4,385,100,859.628487220553,"C7W260","Blue",470
"81",54.4999399975999,5.5,385,100,1108.4799778528,"C7W260","Blue",470
"82",52.4298481344916,5,385,100,1046.00268264766,"C7W260","Blue",470
"83",58.4059372728797,6.5,385,100,1206.88533402001,"C7W260","Blue",470
"84",56.8585643621305,6,385,100,1185.11679055278,"C7W260","Blue",470
"85",60.9758090017919,7.5,385,100,1302.89322875364,"C7W260","Blue",470
"86",59.8408276311502,7,385,100,1235.76949671407,"C7W260","Blue",470
"87",63.6227936701156,8.5,385,100,1351.00863603496,"C7W260","Blue",470
"88",62.3262988696464,8,385,100,1338.70628930785,"C7W260","Blue",470
"89",65.8280021487523,9.5,385,100,1428.01409474619,"C7W260","Blue",470
"90",59.2588719898606,9,385,100,1373.34013369388,"C7W260","Blue",470
"91",70.6770940330563,10,390,100,2133.62500762939,"E7W260","Blue",470
"92",48.0596523028755,3.5,390,100,1056.95350003244,"E7W260","Blue",470
"93",38.1657261657262,3,390,100,632.617233187676,"E7W260","Blue",470
"94",56.6569205834684,4.5,390,100,1360.87681506583,"E7W260","Blue",470
"95",53.8950608446671,4,390,100,1229.08863997806,"E7W260","Blue",470
"96",60.365213858743,5.5,390,100,1467.40192048767,"E7W260","Blue",470
"97",59.6260619690155,5,390,100,1400.14465217957,"E7W260","Blue",470
"98",63.0160410477991,6.5,390,100,1524.28904751711,"E7W260","Blue",470
"99",60.0349934987846,6,390,100,1909.40275056657,"E7W260","Blue",470
"100",65.4885387547649,7.5,390,100,1941.66149788427,"E7W260","Blue",470
"101",63.9931227054139,7,390,100,1751.40917141246,"E7W260","Blue",470
"102",66.8887383245414,8.5,390,100,1811.75637513956,"E7W260","Blue",470
"103",65.8933458017521,8,390,100,1849.09312964702,"E7W260","Blue",470
"104",69.2686131386861,9.5,390,100,2416.70498102785,"E7W260","Blue",470
"105",65.0945391754803,9,390,100,2186.05449048039,"E7W260","Blue",470
"106",85.4877995484012,10,300,100,2604.45484924316,"H9W261","Blue",470
"107",61.7258659924147,3.5,300,100,993.036522779177,"H9W261","Blue",470
"108",47.2345490981964,3,300,100,617.371896813436,"H9W261","Blue",470
"109",67.7035486738776,4.5,300,100,1381.57772325878,"H9W261","Blue",470
"110",65.7331471213574,4,300,100,1330.44721141381,"H9W261","Blue",470
"111",70.7725906048948,5.5,300,100,1565.86828126375,"H9W261","Blue",470
"112",68.2400134725497,5,300,100,1711.063359963,"H9W261","Blue",470
"113",74.2604147716936,6.5,300,100,1901.16849148437,"H9W261","Blue",470
"114",71.7668127320309,6,300,100,1937.06006845187,"H9W261","Blue",470
"115",78.3835851543106,7.5,300,100,1852.83789073957,"H9W261","Blue",470
"116",77.4083509195056,7,300,100,1766.36585586146,"H9W261","Blue",470
"117",80.3784970134741,8.5,300,100,2095.15216897174,"H9W261","Blue",470
"118",79.745565187439,8,300,100,2095.39067678865,"H9W261","Blue",470
"119",81.7692858468801,9.5,300,100,2232.35691526542,"H9W261","Blue",470
"120",89.2350087994162,9,300,100,2354.52407142051,"H9W261","Blue",470
"121",100.272851958136,10,360,100,4653.91999816895,"H4W261","Green",525
"122",53.9072416598861,3.5,360,100,5973.11848052978,"H4W261","Green",525
"123",40.7432442690147,3,360,100,1985.44993613907,"H4W261","Green",525
