"","x","y","signal","voltage","nAppearance"
"514",160,85,3396,0,1
"515",161,85,3399,0,1
"516",88,95,1195,0,1
"517",56,99,2933,0,1
"518",111,102,241,0,2
"519",169,106,3887,0,1
"520",169,107,3885,0,2
"521",54,113,3374,0,1
"522",164,113,8150,0,1
"523",165,113,8148,0,2
"524",44,122,7712,0,1
"525",72,153,9400,0,1
"526",73,153,9408,0,1
"527",132,153,6843,0,1
"528",128,154,5138,0,1
"529",129,154,5137,0,1
"530",125,162,8873,0,1
"531",78,167,386,0,1
"532",79,167,385,0,1
"533",156,173,37,0,1
"534",75,176,5564,0,1
"535",75,177,5561,0,1
"536",154,186,1787,0,1
"537",137,197,405,0,1
"538",151,205,3933,0,1
"539",130,67,8968,0,1
"540",130,68,8967,0,1
"541",64,100,3957,0,1
"542",72,101,5536,0,1
"543",72,102,5534,0,2
"544",68,133,9003,0,1
"545",153,134,8246,0,1
"546",154,134,8247,0,1
"547",150,143,5410,0,1
"548",55,144,6596,0,1
"549",153,156,6599,0,1
"550",108,159,5116,0,2
"551",107,180,7024,0,1
"552",172,183,8632,0,1
"553",73,189,4980,0,1
"554",117,199,971,0,1
"555",157,203,726,0,1
"556",157,204,720,0,1
"557",107,71,3401,0,1
"558",102,75,7801,0,1
"559",103,75,7797,0,1
"560",98,81,7382,0,1
"561",98,82,7384,0,1
"562",142,93,5902,0,1
"563",124,94,8747,0,1
"564",125,94,8747,0,2
"565",104,99,4643,0,1
"566",105,99,4639,0,1
"567",104,100,4643,0,1
"568",105,100,4632,0,1
"569",61,104,3957,0,1
"570",155,120,8376,0,1
"571",59,124,9051,0,1
"572",108,132,7601,0,1
"573",74,133,8865,0,1
"574",74,134,8862,0,1
"575",109,135,2811,0,1
"576",114,147,7293,0,1
"577",139,160,2863,0,1
"578",148,160,4650,0,1
"579",139,161,2870,0,1
"580",153,170,3887,0,1
"581",72,173,8418,0,1
"582",103,176,3568,0,1
"583",125,71,4432,0,1
"584",113,95,4332,0,1
"585",114,95,4327,0,1
"586",73,98,2133,0,1
"587",74,98,2130,0,1
"588",73,99,2132,0,1
"589",74,99,2131,0,1
"590",150,101,8001,0,1
"591",151,101,8001,0,1
"592",87,102,9161,0,1
"593",144,110,6190,0,2
"594",61,121,7004,0,1
"595",134,123,3330,0,1
"596",175,123,738,0,2
"597",176,123,738,0,2
"598",134,124,3328,0,1
"599",175,124,728,0,1
"600",176,124,732,0,1
"601",165,127,1730,0,1
"602",109,128,8757,0,1
"603",165,128,1737,0,1
"604",166,128,1735,0,2
"605",109,129,8747,0,1
"606",185,131,1501,0,1
"607",153,143,3193,0,1
"608",153,144,3196,0,1
"609",164,145,9055,0,1
"610",143,156,7075,0,1
"611",174,157,3225,0,1
"612",149,159,7216,0,1
"613",53,171,8507,0,1
"614",173,171,4967,0,1
"615",82,172,1240,0,2
"616",83,172,1239,0,1
"617",173,172,4966,0,1
"618",142,179,8515,0,2
"619",143,179,8522,0,1
"620",142,180,8522,0,2
"621",143,180,8523,0,1
"622",125,95,4066,0,3
"623",127,107,2234,0,1
"624",128,107,2238,0,1
"625",151,107,402,0,1
"626",127,108,2233,0,1
"627",128,108,2237,0,1
"628",100,117,101,0,1
"629",101,117,99,0,1
"630",100,118,99,0,1
"631",101,118,97,0,1
"632",113,118,3014,0,1
"633",113,119,3010,0,1
"634",154,124,4627,0,1
"635",155,124,4625,0,1
"636",154,125,4622,0,1
"637",155,125,4620,0,1
"638",174,133,9833,0,1
"639",136,134,8378,0,1
"640",174,134,9832,0,1
"641",136,135,8368,0,1
"642",172,137,9459,0,1
"643",41,141,8946,0,1
"644",42,141,8946,0,1
"645",142,141,6186,0,1
"646",41,142,8932,0,1
"647",142,142,6185,0,1
"648",109,149,3334,0,1
"649",104,155,1970,0,1
"650",79,156,1405,0,1
"651",106,206,5295,0,1
"652",144,78,4604,0,2
"653",121,92,7059,0,1
"654",122,92,7062,0,1
"655",124,95,2451,0,1
"656",125,95,2447,0,2
"657",124,96,2450,0,1
"658",159,106,839,0,2
"659",91,112,5752,0,1
"660",92,112,5750,0,1
"661",172,118,8584,0,1
"662",40,127,8089,0,1
"663",86,135,7875,0,1
"664",85,136,7872,0,1
"665",86,136,7881,0,1
"666",137,140,4429,0,1
"667",116,141,8010,0,1
"668",106,143,7095,0,1
"669",107,143,7098,0,1
"670",113,144,2876,0,1
"671",112,145,2872,0,1
"672",113,145,2877,0,1
"673",114,145,2873,0,1
"674",62,146,2403,0,1
"675",62,147,2404,0,1
"676",163,147,2734,0,2
"677",161,150,3729,0,1
"678",139,167,2308,0,1
"679",138,168,2306,0,1
"680",139,168,2312,0,1
"681",144,171,1179,0,2
"682",73,173,904,0,1
"683",151,177,5471,0,1
"684",141,178,8992,0,1
"685",142,178,9005,0,1
"686",170,186,3261,0,2
"687",131,197,8463,0,1
"688",132,197,8468,0,1
"689",132,198,8459,0,1
"690",118,72,7280,0,1
"691",111,78,8749,0,1
"692",107,79,2434,0,1
"693",92,80,601,0,1
"694",121,83,4929,0,1
"695",152,83,2187,0,1
"696",132,88,8272,0,1
"697",132,89,8268,0,1
"698",81,90,9542,0,1
"699",97,96,5108,0,1
"700",98,96,5111,0,1
"701",76,97,6263,0,1
"702",103,97,10003,0,2
"703",103,98,9995,0,2
"704",172,101,185,0,1
"705",63,121,8726,0,1
"706",80,122,7897,0,3
"707",147,123,4648,0,2
"708",147,124,4651,0,1
"709",143,126,240,0,1
"710",143,127,245,0,1
"711",70,128,150,0,2
"712",113,130,8491,0,2
"713",113,131,8487,0,1
"714",137,131,7329,0,1
"715",83,132,1919,0,1
"716",165,135,9614,0,3
"717",128,156,9972,0,1
"718",144,156,4021,0,1
"719",143,157,4021,0,1
"720",144,157,4022,0,1
"721",118,175,7003,0,2
"722",119,175,7006,0,1
"723",111,185,4153,0,1
"724",122,189,9893,0,1
"725",122,190,9899,0,1
"726",130,203,3573,0,1
"727",118,68,1432,0,1
"728",138,71,1535,0,1
"729",139,71,1517,0,1
"730",86,72,8413,0,1
"731",145,74,8440,0,1
"732",88,89,2959,0,1
"733",98,89,9161,0,1
"734",99,89,9170,0,1
"735",99,90,9166,0,1
"736",105,90,1943,0,1
"737",86,91,6048,0,1
"738",87,91,1617,0,1
"739",112,91,2164,0,2
"740",86,92,6050,0,1
"741",74,101,9226,0,1
"742",75,101,9228,0,1
"743",74,102,9229,0,1
"744",75,102,9229,0,1
"745",110,108,1731,0,2
"746",110,109,1728,0,1
"747",149,116,5003,0,1
"748",80,120,7237,0,1
"749",62,136,1188,0,1
"750",178,145,5959,0,1
"751",139,152,229,0,1
"752",151,159,6178,0,1
"753",183,159,2,0,1
"754",151,160,6181,0,1
"755",80,168,9885,0,1
"756",81,168,9887,0,1
"757",69,188,5919,0,1
"758",69,189,5918,0,1
"759",81,196,5,0,1
"760",151,207,2684,0,1
"761",152,207,2672,0,1
"762",134,213,9378,0,1
"763",121,84,1138,0,1
"764",104,96,582,0,2
"765",102,103,2891,0,1
"766",103,103,2899,0,1
"767",164,112,8069,0,1
"768",165,112,8077,0,1
"769",165,113,8075,0,1
"770",83,120,7744,0,1
"771",136,121,3801,0,1
"772",137,121,3797,0,1
"773",166,134,8386,0,1
"774",165,135,8393,0,2
"775",166,135,8399,0,1
"776",127,146,7637,0,1
