"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda","comment","depth","Id"
"74",169.193738434231,9.5,400,100,4421.33976994406,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"75",169.049172035888,9,400,100,4516.2404562755,"H5W261","Red",630,"NS",120,"H5W261  :  NS  :  120  (nm)"
"76",157.180623055988,10,340,100,4420.05150222778,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"77",86.920101359278,3.5,340,100,3332.48415384579,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"78",72.3459625584508,3,340,100,3036.21326348143,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"79",101.984547616702,4.5,340,100,3812.99788515713,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"80",93.0878026893254,4,340,100,3817.39786719873,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"81",118.697530398006,5.5,340,100,4005.14592437337,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"82",112.010533410869,5,340,100,3992.92040471253,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"83",135.336887226627,6.5,340,100,4085.69572242814,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"84",128.815878578675,6,340,100,4163.78468073983,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"85",147.50281888654,7.5,340,100,4275.6441264814,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"86",141.213580290719,7,340,100,4179.88810471368,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"87",156.010754583921,8.5,340,100,4266.98937203999,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"88",151.053123440021,8,340,100,4395.57777784228,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"89",156.484357170623,9.5,340,100,4479.70644488864,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"90",158.484146792935,9,340,100,4323.56298390664,"H6W261","Red",630,"NS",200,"H6W261  :  NS  :  200  (nm)"
"91",172.260956149869,10,360,100,4383.01601409912,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"92",81.9351297696552,3.5,360,100,3879.45926478579,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"93",73.1677918494062,3,360,100,2990.48654834607,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"94",80.5444899346924,4.5,360,100,3608.46884629545,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"95",91.8843535516991,4,360,100,3677.6599473359,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"96",119.961039285179,5.5,360,100,4008.17680484762,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"97",109.533694389739,5,360,100,4090.41540370332,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"98",135.798280913766,6.5,360,100,4123.70418055611,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"99",126.869461429465,6,360,100,4140.4501102607,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"100",150.843434044117,7.5,360,100,4260.40975275061,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"101",143.850502939584,7,360,100,4276.66402591611,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"102",162.455800293686,8.5,360,100,4358.18119938665,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"103",156.988812533715,8,360,100,4277.07399212112,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"104",169.160848479028,9.5,360,100,4432.04089178847,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"105",166.717859054416,9,360,100,4369.80814750841,"H4W261","Red",630,"NS",300,"H4W261  :  NS  :  300  (nm)"
"110",57.164995132553,10,360,100,2430.93264389038,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2100",45.4513246688328,3.5,360,100,791.192914834297,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"3100",34.2305317324185,3,360,100,497.283888231115,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"4100",47.774696435566,4.5,360,100,1531.60012299326,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"526",47.5838697463082,4,360,100,1047.72072525048,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"610",51.3225084372202,5.5,360,100,1325.44623321672,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"1710",52.8869201151359,5,360,100,1453.03008968397,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"1910",52.1018444503656,6.5,360,100,1591.0891581188,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2010",52.4430267250682,6,360,100,1821.21817033607,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2110",52.8092913427609,7.5,360,100,1867.84223407396,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2210",54.9845237036378,7,360,100,1787.89357155272,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2310",54.2083925334379,8.5,360,100,1852.89876345362,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2410",52.5221032467214,8,360,100,2080.97002200844,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2510",57.8169190986332,9.5,360,100,1985.85075563435,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"2610",54.5015802193716,9,360,100,2479.329578115,"H4W261","Blue",470,"",300,"H4W261  :    :  300  (nm)"
"121",63.8923733151339,10,385,100,1486.99161529541,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"122",38.8722682119205,3.5,385,100,635.894672377806,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"123",26.2058293269231,3,385,100,170.748243131013,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"124",48.7700582463137,4.5,385,100,971.307889458166,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"125",44.8989233002661,4,385,100,859.628487220553,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"126",53.2923450901252,5.5,385,100,1108.4799778528,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"127",51.3935129403827,5,385,100,1046.00268264766,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"128",56.8482836855594,6.5,385,100,1206.88533402001,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"129",55.4879874651811,6,385,100,1185.11679055278,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"130",58.9687293118891,7.5,385,100,1302.89322875364,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"131",57.989217784598,7,385,100,1235.76949671407,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"132",61.3307112908612,8.5,385,100,1351.00863603496,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"133",60.1602226797834,8,385,100,1338.70628930785,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"134",63.0726426405247,9.5,385,100,1428.01409474619,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"135",62.3606920063833,9,385,100,1373.34013369388,"C7W260","Blue",470,"",200,"C7W260  :    :  200  (nm)"
"136",66.470870655679,10,390,100,2133.62500762939,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"137",51.5145493973473,3.5,390,100,1056.95350003244,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"138",44.9419243986254,3,390,100,632.617233187676,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"139",58.6850025340143,4.5,390,100,1360.87681506583,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"140",56.2593380820014,4,390,100,1229.08863997806,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"141",61.29545144106,5.5,390,100,1467.40192048767,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"142",61.4158456486043,5,390,100,1400.14465217957,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"143",63.0215159828612,6.5,390,100,1524.28904751711,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"144",59.4066139833064,6,390,100,1909.40275056657,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"145",63.9361952202384,7.5,390,100,1941.66149788427,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"146",62.6951177484205,7,390,100,1751.40917141246,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"147",64.3206391683607,8.5,390,100,1811.75637513956,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"148",63.4640313484604,8,390,100,1849.09312964702,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"149",65.6733103734642,9.5,390,100,2416.70498102785,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"150",66.6993726540148,9,390,100,2186.05449048039,"E7W260","Blue",470,"",-1,"E7W260  :    :  -1  (nm)"
"151",77.0452960974437,10,300,100,2604.45484924316,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"152",61.517778764117,3.5,300,100,993.036522779177,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"153",47.4375297666296,3,300,100,617.371896813436,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"154",67.0354160769884,4.5,300,100,1381.57772325878,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"155",65.3008316258889,4,300,100,1330.44721141381,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"156",69.0326260346125,5.5,300,100,1565.86828126375,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"157",66.9616114343537,5,300,100,1711.063359963,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"158",71.5693830163644,6.5,300,100,1901.16849148437,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"159",69.1483643236332,6,300,100,1937.06006845187,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"160",75.0300443367389,7.5,300,100,1852.83789073957,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"161",75.0731484809112,7,300,100,1766.36585586146,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"162",75.8326975874049,8.5,300,100,2095.15216897174,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"163",75.97919807825,8,300,100,2095.39067678865,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"164",75.2422887895568,9.5,300,100,2232.35691526542,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"165",76.0216096412245,9,300,100,2354.52407142051,"H9W261","Blue",470,"",50,"H9W261  :    :  50  (nm)"
"166",172.781413730513,10,400,100,4239.52851486206,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"167",86.8913777982258,3.5,400,100,3508.13644319251,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"168",69.8047807477994,3,400,100,3240.06050326623,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"169",114.085555584463,4.5,400,100,3932.30980312443,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"170",101.081438131549,4,400,100,3896.4148393818,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"171",134.254820127704,5.5,400,100,4067.8468120858,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"172",124.60623487833,5,400,100,3944.0394417702,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"173",150.237245375863,6.5,400,100,4152.06059844864,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"174",142.532276149287,6,400,100,4155.6133290493,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"175",156.151733995336,7.5,400,100,4185.22436449686,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"176",151.404637938038,7,400,100,4205.11669583199,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"177",160.870492070049,8.5,400,100,4307.35380576457,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"178",159.895107547957,8,400,100,4176.09911413919,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"179",167.604022270197,9.5,400,100,4275.39316005538,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"180",165.332317576404,9,400,100,4235.16271666176,"H5W261","Blue",470,"NS",120,"H5W261  :  NS  :  120  (nm)"
"181",139.703849340655,10,340,100,3802.25537490845,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"182",79.7263694487645,3.5,340,100,3022.979128371,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"183",66.5674690725711,3,340,100,2486.54854579759,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"184",97.8456509643917,4.5,340,100,3337.33648214063,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"185",88.2030607907043,4,340,100,3058.41060511872,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"186",107.836824230764,5.5,340,100,3616.74357111093,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"187",104.466340974951,5,340,100,3480.56761692728,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"188",116.768284826708,6.5,340,100,3659.79042352222,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"189",112.412492046046,6,340,100,3504.97960050664,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"190",126.542800034761,7.5,340,100,3541.7555026619,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"191",121.335246598639,7,340,100,3736.74490119076,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"192",130.720173964614,8.5,340,100,3735.63140820484,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"193",127.336587370181,8,340,100,3632.62277914316,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"194",135.83746499182,9.5,340,100,3933.56663631969,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"195",135.847827322591,9,340,100,3711.63594735458,"H6W261","Blue",470,"NS",200,"H6W261  :  NS  :  200  (nm)"
"196",176.66625923162,10,360,100,4299.09072494507,"H4W261","Blue",470,"NS",300,"H4W261  :  NS  :  300  (nm)"
